sentence,start_index,stop_index
Je vais de Avignon à Rennes.,"(11, 18)","(21, 27)"
Je compte quitter Saint-Paul pour Le Havre.,"(18, 28)","(34, 42)"
Randonnée de Le Mans jusqu'à Le Havre.,"(13, 20)","(29, 37)"
Je planifie un trajet de Brest à Reims.,"(25, 30)","(33, 38)"
Odyssée depuis Villeurbanne en direction de Nantes.,"(15, 27)","(44, 50)"
Je projette de quitter Nanterre pour Dunkerque.,"(23, 31)","(37, 46)"
Je pars de Amiens pour arriver à Marseille.,"(11, 17)","(33, 42)"
Je vais partir de Orléans à destination de Nanterre.,"(18, 25)","(43, 51)"
Il est prévu que je me rende de Lille à Avignon.,"(32, 37)","(40, 47)"
Je pars de Annecy pour arriver à Montreuil.,"(11, 17)","(33, 42)"
Je vais de Saint-Étienne à Metz.,"(11, 24)","(27, 31)"
Je suis en route de Rennes vers Tourcoing.,"(20, 26)","(32, 41)"
Mon itinéraire est de Avignon à Paris.,"(22, 29)","(32, 37)"
Je planifie un trajet de Metz à Toulouse.,"(25, 29)","(32, 40)"
J'envisage un déplacement de Saint-Denis à Caen.,"(29, 40)","(43, 47)"
Je compte quitter Brest pour Saint-Paul.,"(18, 23)","(29, 39)"
Je quitte Toulon pour Poitiers.,"(10, 16)","(22, 30)"
Randonnée de Saint-Paul jusqu'à Montreuil.,"(13, 23)","(32, 41)"
Voyage sans escale de Villeurbanne à Saint-Étienne.,"(22, 34)","(37, 50)"
Randonnée de Nantes jusqu'à Le Havre.,"(13, 19)","(28, 36)"
Mon voyage débute à Nouméa et se termine à Nice.,"(20, 26)","(43, 47)"
Odyssée depuis Le Mans en direction de Lyon.,"(15, 22)","(39, 43)"
Je souhaite me rendre de Tours à Nouméa.,"(25, 30)","(33, 39)"
Je vais de Caen à Amiens.,"(11, 15)","(18, 24)"
Je souhaite me rendre de Poitiers à Orléans.,"(25, 33)","(36, 43)"
Escapade de Besançon à Avignon.,"(12, 20)","(23, 30)"
Je pars de Créteil pour arriver à Argenteuil.,"(11, 18)","(34, 44)"
Je suis en route de Argenteuil vers Montreuil.,"(20, 30)","(36, 45)"
Je dois me déplacer de Villeurbanne à Mulhouse.,"(23, 35)","(38, 46)"
Je vais de Saint-Étienne à Boulogne-Billancourt.,"(11, 24)","(27, 47)"
Je vais partir de Bordeaux à destination de Brest.,"(18, 26)","(44, 49)"
Je dois effectuer le trajet de Mulhouse à Villeurbanne.,"(31, 39)","(42, 54)"
Voyage sans escale de Clermont-Ferrand à Boulogne-Billancourt.,"(22, 38)","(41, 61)"
Je vais partir de Clermont-Ferrand à destination de Angers.,"(18, 34)","(52, 58)"
Je planifie de me déplacer de Metz vers Le Havre.,"(30, 34)","(40, 48)"
Parti de Toulouse pour atteindre Strasbourg.,"(9, 17)","(33, 43)"
Je veux aller de Clermont-Ferrand à Montpellier.,"(17, 33)","(36, 47)"
Je compte quitter Nice pour Montpellier.,"(18, 22)","(28, 39)"
Parti de Roubaix pour atteindre Toulon.,"(9, 16)","(32, 38)"
Je commence mon périple à Le Havre pour finir à Metz.,"(26, 34)","(48, 52)"
Je m'apprête à partir de Vitry-sur-Seine à Grenoble.,"(25, 40)","(43, 51)"
Je veux aller de Villeurbanne à Nîmes.,"(17, 29)","(32, 37)"
Je projette de quitter Saint-Étienne pour Nîmes.,"(23, 36)","(42, 47)"
Je dois effectuer le trajet de Le Mans à Bordeaux.,"(31, 38)","(41, 49)"
Je vais de Nancy à Lille.,"(11, 16)","(19, 24)"
Je souhaite me rendre de Toulon à Angers.,"(25, 31)","(34, 40)"
Je commence mon périple à Rennes pour finir à Metz.,"(26, 32)","(46, 50)"
Aventure de Grenoble à Poitiers.,"(12, 20)","(23, 31)"
Je suis en route de Bordeaux vers Saint-Paul.,"(20, 28)","(34, 44)"
Je compte quitter Rouen pour Caen.,"(18, 23)","(29, 33)"
Je compte quitter Limoges pour Avignon.,"(18, 25)","(31, 38)"
Mon départ est prévu de Reims à destination de Poitiers.,"(24, 29)","(47, 55)"
Je prévois de voyager de Besançon à Orléans.,"(25, 33)","(36, 43)"
Odyssée depuis Avignon en direction de Saint-Denis.,"(15, 22)","(39, 50)"
Départ de Nanterre pour un voyage direct à Lille.,"(10, 18)","(43, 48)"
Je m'apprête à partir de Boulogne-Billancourt à Argenteuil.,"(25, 45)","(48, 58)"
Je souhaite me rendre de Tourcoing à Saint-Étienne.,"(25, 34)","(37, 50)"
Je vais partir de Nîmes à destination de Avignon.,"(18, 23)","(41, 48)"
Je dois effectuer le trajet de Grenoble à Poitiers.,"(31, 39)","(42, 50)"
Je commence mon périple à Lille pour finir à Saint-Paul.,"(26, 31)","(45, 55)"
Je souhaite me rendre de Montreuil à Nouméa.,"(25, 34)","(37, 43)"
Périples de Villeurbanne à Brest.,"(12, 24)","(27, 32)"
Je suis en route de Lille vers Nice.,"(20, 25)","(31, 35)"
Je commence mon périple à Aix-en-Provence pour finir à Le Mans.,"(26, 41)","(55, 62)"
Il est prévu que je me rende de Angers à Nantes.,"(32, 38)","(41, 47)"
Mon intention est de voyager de Tours à Montreuil.,"(32, 37)","(40, 49)"
Mon voyage débute à Perpignan et se termine à Tourcoing.,"(20, 29)","(46, 55)"
Mon itinéraire est de Boulogne-Billancourt à Paris.,"(22, 42)","(45, 50)"
Je commence mon périple à Nanterre pour finir à Amiens.,"(26, 34)","(48, 54)"
Je pars de Marseille pour arriver à Bordeaux.,"(11, 20)","(36, 44)"
Je prévois de voyager de Limoges à Toulon.,"(25, 32)","(35, 41)"
J'envisage un déplacement de Brest à Nîmes.,"(29, 34)","(37, 42)"
Je dois me déplacer de Avignon à Annecy.,"(23, 30)","(33, 39)"
Je prévois de voyager de Dijon à Besançon.,"(25, 30)","(33, 41)"
Course rapide de Rouen à Nanterre.,"(17, 22)","(25, 33)"
Je souhaite me rendre de Rennes à Nancy.,"(25, 31)","(34, 39)"
Je pars de Clermont-Ferrand pour arriver à Paris.,"(11, 27)","(43, 48)"
Mon intention est de voyager de Dijon à Vitry-sur-Seine.,"(32, 37)","(40, 55)"
Je compte quitter Montreuil pour Perpignan.,"(18, 27)","(33, 42)"
Voyage sans escale de Roubaix à Vitry-sur-Seine.,"(22, 29)","(32, 47)"
Je m'apprête à partir de Paris à Annecy.,"(25, 30)","(33, 39)"
Je dois me déplacer de Mulhouse à Paris.,"(23, 31)","(34, 39)"
Départ de Villeurbanne pour un voyage direct à Annecy.,"(10, 22)","(47, 53)"
Je vais partir de Lyon à destination de Nouméa.,"(18, 22)","(40, 46)"
Je m'apprête à partir de Limoges à Tourcoing.,"(25, 32)","(35, 44)"
Je quitte Lyon pour Montreuil.,"(10, 14)","(20, 29)"
Je quitte Paris pour Tourcoing.,"(10, 15)","(21, 30)"
Je prévois de voyager de Angers à Limoges.,"(25, 31)","(34, 41)"
Trajet initial de Créteil en direction de Roubaix.,"(18, 25)","(42, 49)"
Mon voyage débute à Avignon et se termine à Aix-en-Provence.,"(20, 27)","(44, 59)"
Je vais de Nîmes à Annecy.,"(11, 16)","(19, 25)"
Odyssée depuis Le Mans en direction de Tourcoing.,"(15, 22)","(39, 48)"
Je pars de Marseille pour arriver à Lille.,"(11, 20)","(36, 41)"
Escapade de Nice à Toulon.,"(12, 16)","(19, 25)"
Randonnée de Lyon jusqu'à Nantes.,"(13, 17)","(26, 32)"
Je vais de Perpignan à Saint-Étienne.,"(11, 20)","(23, 36)"
Je veux aller de Tourcoing à Poitiers.,"(17, 26)","(29, 37)"
Je commence mon périple à Vitry-sur-Seine pour finir à Nouméa.,"(26, 41)","(55, 61)"
Je suis en route de Limoges vers Avignon.,"(20, 27)","(33, 40)"
Je vais partir de Nanterre à destination de Roubaix.,"(18, 26)","(44, 51)"
Course rapide de Boulogne-Billancourt à Brest.,"(17, 37)","(40, 45)"
Escapade de Amiens à Caen.,"(12, 18)","(21, 25)"
Je pars de Avignon pour arriver à Montreuil.,"(11, 18)","(34, 43)"
Trajet initial de Nancy en direction de Annecy.,"(18, 23)","(40, 46)"
Je souhaite me rendre de Marseille à Créteil.,"(25, 34)","(37, 44)"
Promenade depuis Caen vers Lille.,"(17, 21)","(27, 32)"
Il est prévu que je me rende de Créteil à Annecy.,"(32, 39)","(42, 48)"
Escapade de Avignon à Metz.,"(12, 19)","(22, 26)"
Je planifie un trajet de Poitiers à Dijon.,"(25, 33)","(36, 41)"
Odyssée depuis Vitry-sur-Seine en direction de Boulogne-Billancourt.,"(15, 30)","(47, 67)"
Je vais partir de Mulhouse à destination de Besançon.,"(18, 26)","(44, 52)"
Je projette de quitter Lille pour Toulouse.,"(23, 28)","(34, 42)"
Je planifie de me déplacer de Brest vers Dunkerque.,"(30, 35)","(41, 50)"
Il est prévu que je me rende de Villeurbanne à Mulhouse.,"(32, 44)","(47, 55)"
Je vais de Argenteuil à Rennes.,"(11, 21)","(24, 30)"
Odyssée depuis Toulon en direction de Metz.,"(15, 21)","(38, 42)"
Mon départ est prévu de Brest à destination de Nîmes.,"(24, 29)","(47, 52)"
Trajet initial de Boulogne-Billancourt en direction de Grenoble.,"(18, 38)","(55, 63)"
Je planifie un trajet de Rennes à Dijon.,"(25, 31)","(34, 39)"
Randonnée de Lille jusqu'à Le Mans.,"(13, 18)","(27, 34)"
Périples de Marseille à Metz.,"(12, 21)","(24, 28)"
Mon itinéraire est de Avignon à Nouméa.,"(22, 29)","(32, 38)"
Mon itinéraire est de Saint-Denis à Toulouse.,"(22, 33)","(36, 44)"
Escapade de Paris à Argenteuil.,"(12, 17)","(20, 30)"
Je suis en route de Créteil vers Le Mans.,"(20, 27)","(33, 40)"
Mon voyage débute à Roubaix et se termine à Nanterre.,"(20, 27)","(44, 52)"
Je vais de Rouen à Créteil.,"(11, 16)","(19, 26)"
Je prévois de voyager de Dunkerque à Brest.,"(25, 34)","(37, 42)"
Départ de Metz pour un voyage direct à Tours.,"(10, 14)","(39, 44)"
Randonnée de Caen jusqu'à Tours.,"(13, 17)","(26, 31)"
Je veux aller de Lyon à Dijon.,"(17, 21)","(24, 29)"
Je planifie de me déplacer de Dijon vers Annecy.,"(30, 35)","(41, 47)"
Départ de Toulon à Le Havre.,"(10, 16)","(19, 27)"
Périples de Dijon à Nanterre.,"(12, 17)","(20, 28)"
Je vais de Grenoble à Saint-Denis.,"(11, 19)","(22, 33)"
Je planifie un trajet de Angers à Aix-en-Provence.,"(25, 31)","(34, 49)"
Parti de Le Havre pour atteindre Paris.,"(9, 17)","(33, 38)"
Je commence mon périple à Rennes pour finir à Saint-Étienne.,"(26, 32)","(46, 59)"
Mon intention est de voyager de Lille à Tourcoing.,"(32, 37)","(40, 49)"
Je veux aller de Rennes à Grenoble.,"(17, 23)","(26, 34)"
Parti de Tours pour atteindre Nantes.,"(9, 14)","(30, 36)"
J'envisage un déplacement de Poitiers à Lille.,"(29, 37)","(40, 45)"
Promenade depuis Amiens vers Tourcoing.,"(17, 23)","(29, 38)"
Trajet initial de Caen en direction de Dijon.,"(18, 22)","(39, 44)"
Je quitte Tourcoing pour Montpellier.,"(10, 19)","(25, 36)"
Je m'apprête à partir de Lille à Nanterre.,"(25, 30)","(33, 41)"
Je pars de Nantes pour arriver à Tourcoing.,"(11, 17)","(33, 42)"
Escapade de Montreuil à Lyon.,"(12, 21)","(24, 28)"
Je planifie de me déplacer de Toulon vers Bordeaux.,"(30, 36)","(42, 50)"
Départ de Montreuil pour un voyage direct à Nantes.,"(10, 19)","(44, 50)"
Je m'apprête à partir de Mulhouse à Avignon.,"(25, 33)","(36, 43)"
Je suis en route de Saint-Étienne vers Amiens.,"(20, 33)","(39, 45)"
J'envisage un déplacement de Besançon à Grenoble.,"(29, 37)","(40, 48)"
Parti de Amiens pour atteindre Reims.,"(9, 15)","(31, 36)"
Je suis en route de Annecy vers Aix-en-Provence.,"(20, 26)","(32, 47)"
Je m'apprête à partir de Montpellier à Bordeaux.,"(25, 36)","(39, 47)"
Je compte quitter Mulhouse pour Metz.,"(18, 26)","(32, 36)"
Mon intention est de voyager de Rennes à Nîmes.,"(32, 38)","(41, 46)"
Je projette de quitter Argenteuil pour Tours.,"(23, 33)","(39, 44)"
Je planifie un trajet de Besançon à Caen.,"(25, 33)","(36, 40)"
Parti de Orléans pour atteindre Nantes.,"(9, 16)","(32, 38)"
Je quitte Annecy pour Metz.,"(10, 16)","(22, 26)"
Je commence mon périple à Dijon pour finir à Boulogne-Billancourt.,"(26, 31)","(45, 65)"
Voyage sans escale de Saint-Étienne à Orléans.,"(22, 35)","(38, 45)"
Odyssée depuis Tourcoing en direction de Tours.,"(15, 24)","(41, 46)"
Je pars de Saint-Denis pour arriver à Rouen.,"(11, 22)","(38, 43)"
Odyssée depuis Marseille en direction de Limoges.,"(15, 24)","(41, 48)"
Course rapide de Lyon à Poitiers.,"(17, 21)","(24, 32)"
Je compte quitter Besançon pour Perpignan.,"(18, 26)","(32, 41)"
Mon itinéraire est de Dunkerque à Roubaix.,"(22, 31)","(34, 41)"
Promenade depuis Montreuil vers Besançon.,"(17, 26)","(32, 40)"
Mon départ est prévu de Boulogne-Billancourt à destination de Le Mans.,"(24, 44)","(62, 69)"
Mon voyage débute à Dijon et se termine à Caen.,"(20, 25)","(42, 46)"
Départ de Caen à Strasbourg.,"(10, 14)","(17, 27)"
Je quitte Besançon pour Montpellier.,"(10, 18)","(24, 35)"
Course rapide de Nîmes à Montpellier.,"(17, 22)","(25, 36)"
Je projette de quitter Nanterre pour Perpignan.,"(23, 31)","(37, 46)"
Je vais de Saint-Denis à Toulon.,"(11, 22)","(25, 31)"
Parti de Nîmes pour atteindre Roubaix.,"(9, 14)","(30, 37)"
J'envisage un déplacement de Orléans à Boulogne-Billancourt.,"(29, 36)","(39, 59)"
Je dois me déplacer de Poitiers à Orléans.,"(23, 31)","(34, 41)"
Aventure de Rennes à Argenteuil.,"(12, 18)","(21, 31)"
Trajet initial de Nice en direction de Vitry-sur-Seine.,"(18, 22)","(39, 54)"
Périples de Dijon à Nancy.,"(12, 17)","(20, 25)"
Je vais de Nanterre à Nancy.,"(11, 19)","(22, 27)"
Aventure de Angers à Grenoble.,"(12, 18)","(21, 29)"
Aventure de Tourcoing à Nouméa.,"(12, 21)","(24, 30)"
Je vais partir de Reims à destination de Saint-Paul.,"(18, 23)","(41, 51)"
Trajet initial de Mulhouse en direction de Bordeaux.,"(18, 26)","(43, 51)"
Je planifie de me déplacer de Montpellier vers Amiens.,"(30, 41)","(47, 53)"
Périples de Le Havre à Grenoble.,"(12, 20)","(23, 31)"
Je dois effectuer le trajet de Nouméa à Dunkerque.,"(31, 37)","(40, 49)"
Je dois me déplacer de Brest à Rouen.,"(23, 28)","(31, 36)"
Périples de Brest à Bordeaux.,"(12, 17)","(20, 28)"
Je prévois de voyager de Nîmes à Roubaix.,"(25, 30)","(33, 40)"
Mon départ est prévu de Créteil à destination de Nouméa.,"(24, 31)","(49, 55)"
Escapade de Poitiers à Rennes.,"(12, 20)","(23, 29)"
Parti de Angers pour atteindre Tourcoing.,"(9, 15)","(31, 40)"
Voyage sans escale de Nîmes à Strasbourg.,"(22, 27)","(30, 40)"
Départ de Nîmes à Marseille.,"(10, 15)","(18, 27)"
Départ de Nantes pour un voyage direct à Avignon.,"(10, 16)","(41, 48)"
Trajet initial de Lyon en direction de Reims.,"(18, 22)","(39, 44)"
Randonnée de Nancy jusqu'à Nouméa.,"(13, 18)","(27, 33)"
Je commence mon périple à Dijon pour finir à Annecy.,"(26, 31)","(45, 51)"
Je vais partir de Paris à destination de Argenteuil.,"(18, 23)","(41, 51)"
Mon voyage débute à Brest et se termine à Bordeaux.,"(20, 25)","(42, 50)"
Parti de Poitiers pour atteindre Vitry-sur-Seine.,"(9, 17)","(33, 48)"
Je commence mon périple à Le Havre pour finir à Roubaix.,"(26, 34)","(48, 55)"
Je veux aller de Nanterre à Dijon.,"(17, 25)","(28, 33)"
Départ de Nîmes pour un voyage direct à Le Mans.,"(10, 15)","(40, 47)"
Mon intention est de voyager de Avignon à Reims.,"(32, 39)","(42, 47)"
Il est prévu que je me rende de Toulon à Reims.,"(32, 38)","(41, 46)"
Je planifie un trajet de Lille à Le Havre.,"(25, 30)","(33, 41)"
Mon voyage débute à Argenteuil et se termine à Saint-Denis.,"(20, 30)","(47, 58)"
Je planifie un trajet de Nouméa à Nice.,"(25, 31)","(34, 38)"
Course rapide de Besançon à Saint-Paul.,"(17, 25)","(28, 38)"
Je planifie un trajet de Metz à Paris.,"(25, 29)","(32, 37)"
Escapade de Strasbourg à Nancy.,"(12, 22)","(25, 30)"
Je quitte Limoges pour Lille.,"(10, 17)","(23, 28)"
Je vais de Mulhouse à Tourcoing.,"(11, 19)","(22, 31)"
Je projette de quitter Annecy pour Nancy.,"(23, 29)","(35, 40)"
Je vais partir de Argenteuil à destination de Nanterre.,"(18, 28)","(46, 54)"
Je dois effectuer le trajet de Amiens à Créteil.,"(31, 37)","(40, 47)"
Je dois me déplacer de Perpignan à Saint-Denis.,"(23, 32)","(35, 46)"
Je vais partir de Poitiers à destination de Paris.,"(18, 26)","(44, 49)"
Je m'apprête à partir de Vitry-sur-Seine à Saint-Étienne.,"(25, 40)","(43, 56)"
Je quitte Strasbourg pour Montpellier.,"(10, 20)","(26, 37)"
Je quitte Besançon pour Grenoble.,"(10, 18)","(24, 32)"
Périples de Saint-Paul à Le Mans.,"(12, 22)","(25, 32)"
Je planifie un trajet de Rouen à Caen.,"(25, 30)","(33, 37)"
Je veux aller de Roubaix à Limoges.,"(17, 24)","(27, 34)"
Mon départ est prévu de Clermont-Ferrand à destination de Tours.,"(24, 40)","(58, 63)"
Trajet initial de Toulouse en direction de Nancy.,"(18, 26)","(43, 48)"
J'envisage un déplacement de Nancy à Avignon.,"(29, 34)","(37, 44)"
Je projette de quitter Paris pour Vitry-sur-Seine.,"(23, 28)","(34, 49)"
Je commence mon périple à Créteil pour finir à Avignon.,"(26, 33)","(47, 54)"
Je planifie un trajet de Poitiers à Avignon.,"(25, 33)","(36, 43)"
Départ de Limoges pour un voyage direct à Argenteuil.,"(10, 17)","(42, 52)"
Je pars de Grenoble pour arriver à Clermont-Ferrand.,"(11, 19)","(35, 51)"
Départ de Angers pour un voyage direct à Strasbourg.,"(10, 16)","(41, 51)"
Mon voyage débute à Saint-Denis et se termine à Boulogne-Billancourt.,"(20, 31)","(48, 68)"
Je pars de Reims pour arriver à Le Mans.,"(11, 16)","(32, 39)"
Je planifie de me déplacer de Montpellier vers Lyon.,"(30, 41)","(47, 51)"
Je suis en route de Nice vers Vitry-sur-Seine.,"(20, 24)","(30, 45)"
Mon itinéraire est de Villeurbanne à Bordeaux.,"(22, 34)","(37, 45)"
Je vais de Strasbourg à Le Havre.,"(11, 21)","(24, 32)"
Je pars de Amiens pour arriver à Vitry-sur-Seine.,"(11, 17)","(33, 48)"
Randonnée de Le Mans jusqu'à Angers.,"(13, 20)","(29, 35)"
Je vais partir de Tourcoing à destination de Nantes.,"(18, 27)","(45, 51)"
Départ de Besançon à Bordeaux.,"(10, 18)","(21, 29)"
Trajet initial de Reims en direction de Lille.,"(18, 23)","(40, 45)"
Parti de Saint-Étienne pour atteindre Dunkerque.,"(9, 22)","(38, 47)"
Je commence mon périple à Toulouse pour finir à Grenoble.,"(26, 34)","(48, 56)"
Mon départ est prévu de Villeurbanne à destination de Le Mans.,"(24, 36)","(54, 61)"
Périples de Avignon à Villeurbanne.,"(12, 19)","(22, 34)"
Voyage sans escale de Argenteuil à Amiens.,"(22, 32)","(35, 41)"
Je commence mon périple à Nîmes pour finir à Créteil.,"(26, 31)","(45, 52)"
J'envisage un déplacement de Besançon à Annecy.,"(29, 37)","(40, 46)"
Promenade depuis Saint-Paul vers Brest.,"(17, 27)","(33, 38)"
Je planifie un trajet de Dunkerque à Nouméa.,"(25, 34)","(37, 43)"
Mon départ est prévu de Reims à destination de Toulouse.,"(24, 29)","(47, 55)"
Je compte quitter Saint-Denis pour Limoges.,"(18, 29)","(35, 42)"
Trajet initial de Dunkerque en direction de Dijon.,"(18, 27)","(44, 49)"
Mon voyage débute à Nanterre et se termine à Argenteuil.,"(20, 28)","(45, 55)"
Aventure de Nice à Argenteuil.,"(12, 16)","(19, 29)"
Je vais partir de Argenteuil à destination de Le Havre.,"(18, 28)","(46, 54)"
Départ de Argenteuil à Dijon.,"(10, 20)","(23, 28)"
Trajet initial de Montreuil en direction de Reims.,"(18, 27)","(44, 49)"
Course rapide de Tourcoing à Vitry-sur-Seine.,"(17, 26)","(29, 44)"
Il est prévu que je me rende de Nice à Montpellier.,"(32, 36)","(39, 50)"
Je projette de quitter Rouen pour Nancy.,"(23, 28)","(34, 39)"
Parti de Boulogne-Billancourt pour atteindre Dijon.,"(9, 29)","(45, 50)"
Je compte quitter Roubaix pour Caen.,"(18, 25)","(31, 35)"
Voyage sans escale de Orléans à Nîmes.,"(22, 29)","(32, 37)"
Mon intention est de voyager de Aix-en-Provence à Amiens.,"(32, 47)","(50, 56)"
Il est prévu que je me rende de Nanterre à Mulhouse.,"(32, 40)","(43, 51)"
Mon intention est de voyager de Reims à Metz.,"(32, 37)","(40, 44)"
Voyage sans escale de Vitry-sur-Seine à Nice.,"(22, 37)","(40, 44)"
J'envisage un déplacement de Besançon à Aix-en-Provence.,"(29, 37)","(40, 55)"
Mon itinéraire est de Limoges à Saint-Étienne.,"(22, 29)","(32, 45)"
Parti de Tours pour atteindre Poitiers.,"(9, 14)","(30, 38)"
Départ de Brest à Clermont-Ferrand.,"(10, 15)","(18, 34)"
Il est prévu que je me rende de Besançon à Le Mans.,"(32, 40)","(43, 50)"
Aventure de Le Mans à Nantes.,"(12, 19)","(22, 28)"
Je vais partir de Boulogne-Billancourt à destination de Montpellier.,"(18, 38)","(56, 67)"
Périples de Amiens à Besançon.,"(12, 18)","(21, 29)"
Voyage sans escale de Poitiers à Perpignan.,"(22, 30)","(33, 42)"
Mon départ est prévu de Avignon à destination de Nice.,"(24, 31)","(49, 53)"
Je dois me déplacer de Paris à Orléans.,"(23, 28)","(31, 38)"
Randonnée de Boulogne-Billancourt jusqu'à Marseille.,"(13, 33)","(42, 51)"
Aventure de Amiens à Nanterre.,"(12, 18)","(21, 29)"
Trajet initial de Nouméa en direction de Villeurbanne.,"(18, 24)","(41, 53)"
Je dois effectuer le trajet de Besançon à Montreuil.,"(31, 39)","(42, 51)"
Je projette de quitter Argenteuil pour Nouméa.,"(23, 33)","(39, 45)"
Je planifie un trajet de Le Mans à Perpignan.,"(25, 32)","(35, 44)"
Course rapide de Aix-en-Provence à Toulon.,"(17, 32)","(35, 41)"
J'envisage un déplacement de Marseille à Poitiers.,"(29, 38)","(41, 49)"
Je m'apprête à partir de Saint-Denis à Toulouse.,"(25, 36)","(39, 47)"
J'envisage un déplacement de Nice à Dunkerque.,"(29, 33)","(36, 45)"
Promenade depuis Argenteuil vers Rennes.,"(17, 27)","(33, 39)"
Il est prévu que je me rende de Saint-Étienne à Le Mans.,"(32, 45)","(48, 55)"
Je commence mon périple à Mulhouse pour finir à Nouméa.,"(26, 34)","(48, 54)"
Je commence mon périple à Nancy pour finir à Poitiers.,"(26, 31)","(45, 53)"
Je quitte Nantes pour Marseille.,"(10, 16)","(22, 31)"
Aventure de Paris à Brest.,"(12, 17)","(20, 25)"
Mon départ est prévu de Mulhouse à destination de Metz.,"(24, 32)","(50, 54)"
Je vais partir de Perpignan à destination de Roubaix.,"(18, 27)","(45, 52)"
Promenade depuis Montreuil vers Caen.,"(17, 26)","(32, 36)"
Départ de Grenoble pour un voyage direct à Le Mans.,"(10, 18)","(43, 50)"
Mon départ est prévu de Roubaix à destination de Caen.,"(24, 31)","(49, 53)"
Aventure de Le Mans à Rennes.,"(12, 19)","(22, 28)"
Je quitte Toulon pour Perpignan.,"(10, 16)","(22, 31)"
Je souhaite me rendre de Strasbourg à Tourcoing.,"(25, 35)","(38, 47)"
Je commence mon périple à Amiens pour finir à Angers.,"(26, 32)","(46, 52)"
Je commence mon périple à Marseille pour finir à Caen.,"(26, 35)","(49, 53)"
Voyage sans escale de Caen à Bordeaux.,"(22, 26)","(29, 37)"
Je planifie de me déplacer de Strasbourg vers Saint-Denis.,"(30, 40)","(46, 57)"
Mon intention est de voyager de Besançon à Angers.,"(32, 40)","(43, 49)"
Course rapide de Le Mans à Dijon.,"(17, 24)","(27, 32)"
Je m'apprête à partir de Mulhouse à Reims.,"(25, 33)","(36, 41)"
Je m'apprête à partir de Caen à Nantes.,"(25, 29)","(32, 38)"
Je vais de Nanterre à Nice.,"(11, 19)","(22, 26)"
J'envisage un déplacement de Saint-Paul à Nanterre.,"(29, 39)","(42, 50)"
Je m'apprête à partir de Bordeaux à Le Mans.,"(25, 33)","(36, 43)"
Je prévois de voyager de Tourcoing à Toulon.,"(25, 34)","(37, 43)"
Trajet initial de Tours en direction de Annecy.,"(18, 23)","(40, 46)"
Il est prévu que je me rende de Brest à Créteil.,"(32, 37)","(40, 47)"
Je planifie un trajet de Aix-en-Provence à Poitiers.,"(25, 40)","(43, 51)"
Je commence mon périple à Avignon pour finir à Créteil.,"(26, 33)","(47, 54)"
Je dois effectuer le trajet de Toulouse à Nantes.,"(31, 39)","(42, 48)"
Je dois me déplacer de Rennes à Vitry-sur-Seine.,"(23, 29)","(32, 47)"
Je projette de quitter Nantes pour Aix-en-Provence.,"(23, 29)","(35, 50)"
Je projette de quitter Lyon pour Vitry-sur-Seine.,"(23, 27)","(33, 48)"
J'envisage un déplacement de Toulouse à Metz.,"(29, 37)","(40, 44)"
Je suis en route de Toulouse vers Orléans.,"(20, 28)","(34, 41)"
Je planifie de me déplacer de Nanterre vers Poitiers.,"(30, 38)","(44, 52)"
Je prévois de voyager de Orléans à Saint-Étienne.,"(25, 32)","(35, 48)"
Mon voyage débute à Limoges et se termine à Lille.,"(20, 27)","(44, 49)"
Parti de Grenoble pour atteindre Metz.,"(9, 17)","(33, 37)"
Je souhaite me rendre de Rennes à Nice.,"(25, 31)","(34, 38)"
Mon itinéraire est de Orléans à Roubaix.,"(22, 29)","(32, 39)"
Périples de Dunkerque à Metz.,"(12, 21)","(24, 28)"
Parti de Dunkerque pour atteindre Lille.,"(9, 18)","(34, 39)"
Odyssée depuis Dunkerque en direction de Limoges.,"(15, 24)","(41, 48)"
Mon départ est prévu de Lyon à destination de Aix-en-Provence.,"(24, 28)","(46, 61)"
Je projette de quitter Le Havre pour Rennes.,"(23, 31)","(37, 43)"
J'envisage un déplacement de Grenoble à Lille.,"(29, 37)","(40, 45)"
Je dois effectuer le trajet de Limoges à Orléans.,"(31, 38)","(41, 48)"
Aventure de Roubaix à Caen.,"(12, 19)","(22, 26)"
Je veux aller de Dijon à Roubaix.,"(17, 22)","(25, 32)"
Je projette de quitter Clermont-Ferrand pour Paris.,"(23, 39)","(45, 50)"
Je vais partir de Bordeaux à destination de Caen.,"(18, 26)","(44, 48)"
Voyage sans escale de Angers à Perpignan.,"(22, 28)","(31, 40)"
Je pars de Reims pour arriver à Paris.,"(11, 16)","(32, 37)"
Départ de Nîmes pour un voyage direct à Poitiers.,"(10, 15)","(40, 48)"
Parti de Aix-en-Provence pour atteindre Angers.,"(9, 24)","(40, 46)"
Parti de Nanterre pour atteindre Roubaix.,"(9, 17)","(33, 40)"
Mon itinéraire est de Le Havre à Le Mans.,"(22, 30)","(33, 40)"
Périples de Le Havre à Marseille.,"(12, 20)","(23, 32)"
Je vais partir de Toulouse à destination de Nanterre.,"(18, 26)","(44, 52)"
Course rapide de Boulogne-Billancourt à Angers.,"(17, 37)","(40, 46)"
Départ de Créteil pour un voyage direct à Nîmes.,"(10, 17)","(42, 47)"
Départ de Dunkerque à Boulogne-Billancourt.,"(10, 19)","(22, 42)"
Course rapide de Saint-Paul à Dunkerque.,"(17, 27)","(30, 39)"
